"medcode"	"readcode"	"readterm"	"newcat"
"64277"	"E248200"	"combined opioid with other drug dependence, episodic"	"Drug misuse"
"64316"	"E25yz00"	"nondependent other drug abuse nos"	"Drug misuse"
"64382"	"E255200"	"nondependent opioid abuse, episodic"	"Drug misuse"
"64389"	"Eu10z00"	"[x]ment & behav dis due use alcohol: unsp ment & behav dis"	"Alcohol misuse"
"64500"	"L183.11"	"pregnancy and drug dependence"	"Drug misuse"
"6467"	"Eu10511"	"[x]alcoholic hallucinosis"	"Alcohol misuse"
"64983"	"E25y200"	"nondependent other drug abuse, episodic"	"Drug misuse"
"65754"	"C150500"	"alcohol-induced pseudo-cushing's syndrome"	"Alcohol misuse"
"65826"	"Eu16200"	"[x]mental and behav dis due to hallucinogens: dependence syn"	"Drug misuse"
"65932"	"Eu10512"	"[x]alcoholic jealousy"	"Alcohol misuse"
"66187"	"Eu16000"	"[x]mental & behav dis due hallucinogens: acute intoxicatn"	"Drug misuse"
"669"	"E250000"	"nondependent alcohol abuse, unspecified"	"Alcohol misuse"
"67098"	"L183300"	"drug dependence during pregnancy - baby not yet delivered"	"Drug misuse"
"67462"	"E253300"	"nondependent hallucinogen abuse in remission"	"Drug misuse"
"67491"	"Eu16100"	"[x]mental and behav dis due to use hallucinogens: harmfl use"	"Drug misuse"
"67651"	"E01z.00"	"alcoholic psychosis nos"	"Alcohol misuse"
"67717"	"U406y00"	"[x]pois/exp ?intent to hallucinogen other spec place"	"Drug misuse"
"68111"	"E01yz00"	"other alcoholic psychosis nos"	"Alcohol misuse"
"68150"	"E245z00"	"hallucinogen dependence nos"	"Drug misuse"
"68327"	"13r3.00"	"abstinent from drug misuse on maintenance replacement"	"Drug misuse"
"69508"	"E255z00"	"nondependent opioid abuse nos"	"Drug misuse"
"69542"	"ZRl..00"	"substance use disorder diagnostic schedule"	"Drug misuse"
"69691"	"Eu10213"	"[x]dipsomania"	"Alcohol misuse"
"70578"	"E245300"	"hallucinogen dependence in remission"	"Drug misuse"
"70761"	"E246300"	"glue sniffing dependence in remission"	"Drug misuse"
"70900"	"E249300"	"combined drug dependence, excluding opioid, in remission"	"Drug misuse"
"71060"	"E253000"	"nondependent hallucinogen abuse, unspecified"	"Drug misuse"
"71086"	"E245100"	"hallucinogen dependence, continuous"	"Drug misuse"
"7123"	"ZV11300"	"[v]personal history of alcoholism"	"Alcohol misuse"
"72342"	"E249z00"	"combined drug dependence, excluding opioid, nos"	"Drug misuse"
"72564"	"E247200"	"other specified drug dependence, episodic"	"Drug misuse"
"72663"	"9HC3.00"	"substance misuse clinical management plan reviewed"	"Drug misuse"
"73448"	"E245200"	"hallucinogen dependence, episodic"	"Drug misuse"
"73737"	"E248z00"	"combined opioid with other drug dependence nos"	"Drug misuse"
"73876"	"U60H300"	"[x]alcohol deterrents caus adverse effects in therapeut use"	"Alcohol misuse"
"7602"	"J617000"	"chronic alcoholic hepatitis"	"Alcohol misuse"
"7746"	"E250.00"	"nondependent alcohol abuse"	"Alcohol misuse"
"78442"	"1T8..00"	"h/o cannabis misuse"	"Drug misuse"
"7885"	"J613.00"	"alcoholic liver damage unspecified"	"Alcohol misuse"
"8030"	"ZV6D600"	"[v]alcohol abuse counselling and surveillance"	"Alcohol misuse"
"81441"	"1T2..00"	"h/o ecstasy misuse"	"Drug misuse"
