"medcodeid"	"term"	"originalreadcode"	"snomedctconceptid"	"snomedctdescriptionid"	"release"	"readcode"	"newcat"
"512181000000111"	"h/o barbiturate misuse"	"1TA"	"277011000000101"	"512181000000111"	""	"1TA..00"	"Drug misuse"
"512191000000113"	"h/o anti-depressant misuse"	"1TC"	"276991000000109"	"512191000000113"	""	"1TC..00"	"Drug misuse"
"512201000000110"	"h/o opiate misuse"	"1TD"	"276981000000107"	"512201000000110"	""	"1TD..00"	"Drug misuse"
"512211000000112"	"h/o daily benzodiazepine misuse"	"1T30"	"277101000000102"	"512211000000112"	""	"1T30.00"	"Drug misuse"
"512221000000118"	"h/o weekly benzodiazepine misuse"	"1T31"	"277131000000108"	"512221000000118"	""	"1T31.00"	"Drug misuse"
"512231000000116"	"h/o infrequent benzodiazepine misuse"	"1T32"	"277161000000103"	"512231000000116"	""	"1T32.00"	"Drug misuse"
"512241000000113"	"h/o daily heroin misuse"	"1T00"	"277221000000102"	"512241000000113"	""	"1T00.00"	"Drug misuse"
"512251000000111"	"h/o weekly heroin misuse"	"1T01"	"277251000000107"	"512251000000111"	""	"1T01.00"	"Drug misuse"
"512261000000114"	"h/o infrequent heroin misuse"	"1T03"	"277311000000103"	"512261000000114"	""	"1T03.00"	"Drug misuse"
"512271000000119"	"h/o daily methadone misuse"	"1T10"	"277341000000102"	"512271000000119"	""	"1T10.00"	"Drug misuse"
"512281000000117"	"h/o weekly methadone misuse"	"1T11"	"277371000000108"	"512281000000117"	""	"1T11.00"	"Drug misuse"
"512301000000116"	"h/o daily ecstasy misuse"	"1T20"	"277461000000109"	"512301000000116"	""	"1T20.00"	"Drug misuse"
"512311000000119"	"h/o weekly ecstasy misuse"	"1T21"	"277491000000103"	"512311000000119"	""	"1T21.00"	"Drug misuse"
"512321000000113"	"h/o infrequent ecstasy misuse"	"1T22"	"277521000000100"	"512321000000113"	""	"1T22.00"	"Drug misuse"
"512331000000110"	"h/o daily amphetamine misuse"	"1T40"	"277581000000104"	"512331000000110"	""	"1T40.00"	"Drug misuse"
"512341000000118"	"h/o weekly amphetamine misuse"	"1T41"	"277611000000105"	"512341000000118"	""	"1T41.00"	"Drug misuse"
"512351000000115"	"h/o infrequent amphetamine misuse"	"1T42"	"277641000000106"	"512351000000115"	""	"1T42.00"	"Drug misuse"
"512361000000117"	"h/o daily major tranquilliser misuse"	"1TB0"	"277701000000101"	"643751000000110"	""	"1TB0.00"	"Drug misuse"
"512391000000111"	"h/o daily anti-depressant misuse"	"1TC0"	"277821000000103"	"512391000000111"	""	"1TC0.00"	"Drug misuse"
"512421000000117"	"h/o daily opiate misuse"	"1TD0"	"277941000000101"	"512421000000117"	""	"1TD0.00"	"Drug misuse"
"512431000000115"	"h/o weekly opiate misuse"	"1TD1"	"277971000000107"	"512431000000115"	""	"1TD1.00"	"Drug misuse"
"512441000000112"	"h/o infrequent opiate misuse"	"1TD2"	"278001000000102"	"512441000000112"	""	"1TD2.00"	"Drug misuse"
"512451000000110"	"h/o daily cocaine misuse"	"1T50"	"278061000000103"	"512451000000110"	""	"1T50.00"	"Drug misuse"
"512461000000113"	"h/o weekly cocaine misuse"	"1T51"	"278091000000109"	"512461000000113"	""	"1T51.00"	"Drug misuse"
"512471000000118"	"h/o infrequent cocaine misuse"	"1T52"	"278121000000105"	"512471000000118"	""	"1T52.00"	"Drug misuse"
"512481000000116"	"h/o daily crack cocaine misuse"	"1T60"	"278181000000106"	"512481000000116"	""	"1T60.00"	"Drug misuse"
"512491000000119"	"h/o weekly crack cocaine misuse"	"1T61"	"278211000000107"	"512491000000119"	""	"1T61.00"	"Drug misuse"
"512501000000113"	"h/o infrequent crack cocaine misuse"	"1T62"	"278241000000108"	"512501000000113"	""	"1T62.00"	"Drug misuse"
"512571000000117"	"h/o daily cannabis misuse"	"1T80"	"278541000000106"	"512571000000117"	""	"1T80.00"	"Drug misuse"
"512581000000115"	"h/o weekly cannabis misuse"	"1T81"	"278571000000100"	"512581000000115"	""	"1T81.00"	"Drug misuse"
"512591000000118"	"h/o infrequent cannabis misuse"	"1T82"	"278601000000107"	"512591000000118"	""	"1T82.00"	"Drug misuse"
"512601000000112"	"h/o daily solvent misuse"	"1T90"	"278661000000106"	"512601000000112"	""	"1T90.00"	"Drug misuse"
"512611000000114"	"h/o weekly solvent misuse"	"1T91"	"278691000000100"	"512611000000114"	""	"1T91.00"	"Drug misuse"
"512621000000115"	"h/o infrequent solvent misuse"	"1T92"	"278721000000109"	"512621000000115"	""	"1T92.00"	"Drug misuse"
"512631000000118"	"h/o heroin misuse"	"1T0"	"279441000000100"	"512631000000118"	""	"1T0..00"	"Drug misuse"
"512641000000110"	"h/o ecstasy misuse"	"1T2"	"279451000000102"	"512641000000110"	""	"1T2..00"	"Drug misuse"
"530931000000116"	"substance misuse treatment declined"	"9HC6"	"299881000000104"	"530931000000116"	""	"9HC6.00"	"Drug misuse"
"531051000000115"	"substance misuse structured counselling"	"677T"	"299941000000103"	"531051000000115"	""	"677T.00"	"Drug misuse"
"540591000000111"	"referral to substance misuse service"	"8HkF"	"201521000000104"	"540591000000111"	""	"8HkF.00"	"Drug misuse"
"540681000000110"	"self referral to substance misuse service"	"8Hh1"	"304301000000105"	"540681000000110"	""	"8Hh1.00"	"Drug misuse"
"541451000000111"	"opioid agonist substitution therapy"	"8B2S"	"304681000000107"	"541451000000111"	""	"8B2S.00"	"Drug misuse"
"541541000000112"	"opioid antagonist therapy"	"8B2T"	"304721000000100"	"541541000000112"	""	"8B2T.00"	"Drug misuse"
"542611000006114"	"cerebral degeneration due to alcoholism"	"F11x0"	"192811002"	"297011014"	""	"F11x000"	"Alcohol misuse"
"586671000006114"	"nondependent antidepressant type drug abuse"	"E258"	"191928000"	"295315012"	""	"E258.00"	"Drug misuse"
"606991000000117"	"alcohol misuse"	"136W"	"15167005"	"606991000000117"	""	"136W.00"	"Alcohol misuse"
"622961000000116"	"referral to specialist alcohol treatment service"	"8HkG"	"431260004"	"2768649019"	""	"8HkG.00"	"Alcohol misuse"
"630311000006110"	"drug dependence during pregnancy/childbirth/puerperium nos"	"L183z"	"267206008"	"398350016"	""	"L183z00"	"Drug misuse"
"630321000006119"	"drug dependence in pregnancy, childbirth and the puerperium"	"L183"	"267206008"	"398350016"	""	"L183.00"	"Drug misuse"
"630361000006113"	"drug dependence therapy"	"8B23-3"	"266707007"	"397153012"	""	"8B23.13"	"Drug misuse"
"64025010"	"hallucinogen dependence"	"E245"	"38247002"	"64025010"	""	"E245.00"	"Drug misuse"
"7264381000006117"	"referral to specialist alcohol treatment service declined by patient"	"^ESCTRE726438"	"442444001"	"2819225015"	""	""	"Alcohol misuse"
"739501000000112"	"advised to contact primary care alcohol worker"	"8CAv"	"375941000000101"	"739501000000112"	""	"8CAv.00"	"Alcohol misuse"
"740641000000115"	"referral to alcohol brief intervention service"	"8HkJ"	"376401000000103"	"740641000000115"	""	"8HkJ.00"	"Alcohol misuse"
"749081000006115"	"laxative abuse"	"E25y-2"	"280982009"	"418870010"	""	"E25y.12"	"Drug misuse"
"750531000000113"	"declined referral to specialist alcohol treatment service"	"8IAJ"	"380861000000109"	"750531000000113"	""	"8IAJ.00"	"Alcohol misuse"
"753321000006116"	"korsakoff's non-alcoholic psychosis"	"E040-1"	"17262008"	"1221499012"	""	"E040.11"	"Alcohol misuse"
"753331000006118"	"korsakov's alcoholic psychosis"	"E0110"	"69482004"	"501296014"	""	"E011000"	"Alcohol misuse"
"757341000000110"	"health problem secondary to drug misuse"	"1V0E"	"383871000000108"	"757341000000110"	""	"1V0E.00"	"Drug misuse"
"831091000006115"	"referral to alcohol abuse team"	"EMISQRE1"	"831091000006104"	"831091000006115"	""	""	"Alcohol misuse"
"831101000006114"	"referral to alcohol counsellor"	"EMISQRE2"	"831101000006105"	"831101000006114"	""	""	"Alcohol misuse"
"83834016"	"alcoholic fatty liver"	"J610"	"50325005"	"83834016"	""	"J610.00"	"Alcohol misuse"
"851461000006115"	"drug misuse behaviour"	"EMISQDR1"	"851461000006104"	"851461000006115"	""	""	"Drug misuse"
"851931000006116"	"referral to alcohol recovery project"	"EMISQRE24"	"851931000006100"	"851931000006116"	""	""	"Alcohol misuse"
"852151000006117"	"audit score >5 alcohol dependence syndrome"	"EMISQAU2"	"852151000006101"	"852151000006117"	""	""	"Alcohol misuse"
"852161000006115"	"audit score >5 alcohol problem drinker"	"EMISQAU3"	"852161000006104"	"852161000006115"	""	""	"Alcohol misuse"
"852211000006112"	"misused drugs in past"	"EMISQMI2"	"852211000006108"	"852211000006112"	""	""	"Drug misuse"
"852381000006110"	"alcohol reduction-maintain abstinence"	"EMISQAL2"	"852381000006106"	"852381000006110"	""	""	"Alcohol misuse"
"854651000006117"	"alcohol overdose"	"EGTON59"	"854651000006101"	"854651000006117"	""	""	"Alcohol misuse"
"855111000006111"	"grade d 50 or more units/week"	"EGTONGR9"	"855111000006107"	"855111000006111"	""	""	"Alcohol misuse"
"857401000006112"	"referral to community drug dependency team"	"EMISQRE11"	"857401000006108"	"857401000006112"	""	""	"Drug misuse"
"910581000006116"	"[rfc] drug/ substance abuse"	"HNGNQRF103"	"910581000006100"	"910581000006116"	""	""	"Drug misuse"
"910591000006118"	"[rfc] drug addiction"	"HNGNQRF104"	"910591000006102"	"910591000006118"	""	""	"Drug misuse"
"910601000006114"	"[rfc] substance abuse"	"HNGNQRF105"	"910601000006105"	"910601000006114"	""	""	"Drug misuse"
"936031000006115"	"lifestyle advice regarding drug misuse"	"67H3"	"408943006"	"2470781014"	""	"67H3.00"	"Drug misuse"
